Marine Animal ID,Marine Animal Name,Population ID,Population Name,Species ID,Specices Name,,Size limit min (cm),Size limit max (cm)
1,Cods and groupers(All),1,Cods and groupers,3,Coral reef fin fish,,10,
2,Barramundi cod,1,Cods and groupers,3,Coral reef fin fish,,,
3,Camouflage grouper,1,Cods and groupers,3,Coral reef fin fish,,50,70
4,Flowery rockcod,1,Cods and groupers,3,Coral reef fin fish,,50,70
5,Greasy rockcod,1,Cods and groupers,3,Coral reef fin fish,,10,100
6,Maori rockcod,1,Cods and groupers,3,Coral reef fin fish,,50,
7,Potato rockcod,1,Cods and groupers,3,Coral reef fin fish,,,
8,Queensland groper,1,Cods and groupers,3,Coral reef fin fish,,,
9,Coral troutAll),2,Coral trout,3,Coral reef fin fish,,40,
10,Blue spotted coral trout (Chinese footballer),2,Coral trout,3,Coral reef fin fish,,50,80
11,Emperors (All),2,Emperors,3,Coral reef fin fish,,30,
12,Redthroat emperorsweetlip emperor),3,Emperors,3,Coral reef fin fish,,40,
13,Long nose emperor,3,Emperors,3,Coral reef fin fish,,40,
14,Spangled emperor,3,Emperors,3,Coral reef fin fish,,50,
15,Fusiliers (All),4,Fusiliers,3,Coral reef fin fish,,,
16,ParrotfishesAll),5,Parrotfishes,3,Coral reef fin fish,,30,
17,Surgeonfishes (All),6,Surgeonfishes,3,Coral reef fin fish,,30,
18,Sweetlips (All),7,Sweetlips,3,Coral reef fin fish,,30,
19,Tropical snappers and sea perches (All),8,Tropical snappers and sea perches,3,Coral reef fin fish,,30,
20,Chinaman fish,8,Tropical snappers and sea perches,3,Coral reef fin fish,,,
21,Crimson snapper (small mouth nannygai),8,Tropical snappers and sea perches,3,Coral reef fin fish,,40,
22,Saddletail snapper (large mouth nannygai),8,Tropical snappers and sea perches,3,Coral reef fin fish,,40,
23,Flame snapper,8,Tropical snappers and sea perches,3,Coral reef fin fish,,40,
24,Goldband snapper,8,Tropical snappers and sea perches,3,Coral reef fin fish,,40,
25,Sharptooth snapper,8,Tropical snappers and sea perches,3,Coral reef fin fish,,40,
26,Green jobfish,8,Tropical snappers and sea perches,3,Coral reef fin fish,,40,
27,Hussar,8,Tropical snappers and sea perches,3,Coral reef fin fish,,30,
28,Rosy snapperjobfish),8,Tropical snappers and sea perches,3,Coral reef fin fish,,40,
