Year,Moderate bleaching events (1-30% bleached),Severe bleaching events (>30% bleached),total bleaching events
1980,3,0,3
1981,1,0,1
1982,0,0,0
1983,3,1,4
1984,1,0,1
1985,0,0,0
1986,2,0,2
1987,1,1,2
1988,1,1,2
1989,0,0,0
1990,0,0,0
1991,0,1,1
1992,1,0,1
1993,0,1,1
1994,1,0,1
1995,1,1,2
1996,0,0,0
1997,2,0,2
1998,1,19,20
1999,2,0,2
2000,2,2,4
2001,3,0,3
2002,1,4,5
2003,0,1,1
2004,3,0,3
2005,5,1,6
2006,3,0,3
2007,2,2,4
2008,3,2,5
2009,3,0,3
2010,3,15,18
2011,2,3,5
2012,2,1,3
2013,1,1,2
2014,4,0,4
2015,1,2,3
2016,6,21,27
